Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,94.187500,94.375000,87.750000,88.312500,88.312500,1822600
2000-01-04,87.000000,87.500000,82.250000,82.750000,82.750000,1647700
2000-01-05,80.875000,81.875000,78.375000,78.875000,78.875000,1516600
2000-01-06,78.625000,84.500000,78.625000,82.250000,82.250000,1845100
2000-01-07,83.062500,83.187500,79.875000,82.562500,82.562500,1127400
2000-01-10,81.750000,84.875000,81.750000,84.375000,84.375000,803100
2000-01-11,85.000000,86.250000,84.562500,84.812500,84.812500,808600
2000-01-12,84.125000,86.000000,83.375000,84.375000,84.375000,916100
2000-01-13,85.125000,85.125000,82.875000,84.500000,84.500000,711000
2000-01-14,85.500000,86.937500,85.312500,85.625000,85.625000,607000
2000-01-18,85.000000,89.125000,84.750000,86.875000,86.875000,1095700
2000-01-19,86.875000,89.375000,86.750000,87.562500,87.562500,636900
2000-01-20,87.000000,87.937500,84.875000,85.937500,85.937500,621800
2000-01-21,86.187500,86.187500,84.562500,85.687500,85.687500,542500
2000-01-24,87.500000,87.500000,81.500000,81.750000,81.750000,712900
2000-01-25,83.000000,84.187500,82.375000,83.875000,83.875000,749300
2000-01-26,84.125000,88.500000,84.125000,88.250000,88.250000,1086600
2000-01-27,88.250000,89.937500,87.625000,89.000000,89.000000,702000
2000-01-28,87.500000,88.000000,86.125000,87.000000,87.000000,776800
2000-01-31,87.000000,91.687500,86.500000,91.625000,91.625000,801800
2000-02-01,92.875000,93.000000,90.500000,91.250000,91.250000,813100
2000-02-02,90.750000,91.625000,88.625000,91.125000,91.125000,964700
2000-02-03,90.000000,91.125000,84.812500,85.375000,85.375000,2213300
2000-02-04,87.250000,87.250000,83.562500,84.687500,84.687500,1451700
2000-02-07,84.437500,86.500000,83.500000,85.750000,85.750000,929800
2000-02-08,85.750000,89.625000,85.750000,89.437500,89.437500,1024800
2000-02-09,89.437500,89.437500,86.562500,86.750000,86.750000,397100
2000-02-10,86.750000,87.312500,85.500000,86.625000,86.625000,503200
2000-02-11,86.437500,88.750000,85.000000,85.125000,85.125000,856900
2000-02-14,85.125000,86.875000,84.625000,86.500000,86.500000,627800
2000-02-15,86.250000,86.625000,85.125000,86.500000,86.500000,542400
2000-02-16,86.750000,87.312500,82.875000,82.937500,82.937500,720300
2000-02-17,84.750000,84.750000,81.125000,82.125000,82.125000,895500
2000-02-18,84.500000,84.500000,80.750000,80.812500,80.812500,925500
2000-02-22,81.250000,82.375000,80.687500,81.562500,81.562500,720100
2000-02-23,81.312500,87.000000,81.062500,85.750000,85.750000,702900
2000-02-24,85.812500,89.937500,85.500000,89.625000,89.625000,1199800
2000-02-25,89.437500,94.000000,88.250000,89.250000,89.250000,1333000
2000-02-28,89.250000,89.250000,87.000000,88.000000,88.000000,518000
2000-02-29,88.750000,92.500000,88.000000,92.500000,92.500000,1381200
2000-03-01,93.250000,96.750000,93.187500,94.750000,94.750000,1488900
2000-03-02,95.250000,97.875000,94.125000,96.250000,96.250000,1819200
2000-03-03,97.000000,102.500000,96.750000,102.500000,102.500000,2295900
2000-03-06,102.750000,105.250000,102.375000,103.687500,103.687500,1421000
2000-03-07,103.937500,105.750000,102.437500,104.875000,104.875000,1041300
2000-03-08,105.000000,105.375000,99.687500,101.750000,101.750000,1041100
2000-03-09,101.750000,108.187500,101.250000,107.187500,107.187500,535500
2000-03-10,109.750000,119.000000,108.500000,112.250000,112.250000,2034400
2000-03-13,107.500000,115.500000,106.500000,110.375000,110.375000,1454200
2000-03-14,111.500000,112.875000,103.500000,104.750000,104.750000,653100
2000-03-15,102.500000,105.500000,101.375000,103.562500,103.562500,700300
2000-03-16,103.875000,105.000000,99.250000,103.312500,103.312500,2024800
2000-03-17,104.125000,117.375000,103.250000,116.500000,116.500000,2099400
2000-03-20,117.625000,123.000000,112.562500,113.437500,113.437500,2254000
2000-03-21,111.000000,119.812500,106.500000,118.250000,118.250000,2692800
2000-03-22,114.875000,117.937500,114.812500,117.156197,117.156197,1258900
2000-03-23,116.500000,119.000000,115.125000,119.000000,119.000000,1656900
2000-03-24,119.000000,128.000000,117.687500,121.312500,121.312500,1934400
2000-03-27,118.250000,119.375000,111.750000,112.000000,112.000000,1315000
2000-03-28,109.500000,115.500000,108.500000,113.250000,113.250000,1649400
2000-03-29,114.000000,116.125000,110.750000,114.187500,114.187500,754300
2000-03-30,112.625000,115.000000,105.125000,106.875000,106.875000,1241200
2000-03-31,108.000000,111.875000,103.312500,105.250000,105.250000,1693300
2000-04-03,108.750000,110.812500,105.500000,105.500000,105.500000,1789500
2000-04-04,106.000000,106.250000,91.125000,98.250000,98.250000,3739600
2000-04-05,97.500000,99.625000,93.500000,97.437500,97.437500,3238700
2000-04-06,101.000000,106.000000,100.000000,106.000000,106.000000,1675700
2000-04-07,106.250000,107.250000,101.187500,102.500000,102.500000,1373500
2000-04-10,104.000000,109.125000,103.562500,107.062500,107.062500,1749900
2000-04-11,107.125000,108.312500,104.312500,104.812500,104.812500,1147200
2000-04-12,106.500000,107.250000,96.500000,96.562500,96.562500,2598500
2000-04-13,96.750000,98.125000,92.312500,95.250000,95.250000,3377700
2000-04-14,92.750000,92.750000,79.437500,82.750000,82.750000,4855800
2000-04-17,81.750000,87.750000,81.000000,87.500000,87.500000,3489600
2000-04-18,87.500000,94.937500,86.875000,93.750000,93.750000,2191500
2000-04-19,93.437500,93.500000,89.625000,92.062500,92.062500,1390200
2000-04-20,91.812500,91.812500,88.000000,88.812500,88.812500,1061100
2000-04-24,88.812500,91.500000,84.625000,86.875000,86.875000,1764300
2000-04-25,88.625000,97.875000,87.500000,97.062500,97.062500,1341500
2000-04-26,97.562500,99.125000,94.000000,94.500000,94.500000,1626100
2000-04-27,91.500000,96.250000,90.375000,95.187500,95.187500,1772400
2000-04-28,96.250000,97.500000,90.875000,93.250000,93.250000,1145600
2000-05-01,93.250000,101.625000,93.250000,97.000000,97.000000,2319300
2000-05-02,95.000000,97.625000,92.500000,93.000000,93.000000,1666500
2000-05-03,92.250000,95.750000,89.687500,91.125000,91.125000,1931000
2000-05-04,91.375000,92.000000,88.125000,90.187500,90.187500,920700
2000-05-05,89.375000,92.187500,87.437500,89.875000,89.875000,1378100
2000-05-08,86.000000,87.875000,85.750000,87.312500,87.312500,2817000
2000-05-09,86.000000,87.000000,84.750000,85.625000,85.625000,1739100
2000-05-10,83.000000,83.687500,80.562500,81.437500,81.437500,2340600
2000-05-11,81.500000,83.250000,80.437500,80.875000,80.875000,2276000
2000-05-12,80.250000,84.875000,80.250000,83.781197,83.781197,1911200
2000-05-15,83.812500,88.000000,83.812500,87.062500,87.062500,1668900
2000-05-16,88.000000,89.250000,84.000000,85.500000,85.500000,2538400
