Date,Open,High,Low,Close,Adj Close,Volume
2001-11-26,15.168330,15.168330,15.168330,91.009979,15.168330,0
2001-11-27,15.168330,15.168330,15.168330,91.009979,15.168330,0
2001-11-28,15.168330,15.168330,15.168330,91.009979,15.168330,0
2001-11-29,15.168330,15.168330,15.168330,91.009979,15.168330,0
2001-11-30,15.220000,15.220000,15.220000,91.320000,15.220000,600
2001-12-03,15.220000,15.220000,15.220000,91.320000,15.220000,0
2001-12-04,15.440000,15.440000,15.440000,92.639999,15.440000,600
2001-12-05,15.440000,15.440000,15.440000,92.639999,15.440000,0
2001-12-06,15.686670,15.686670,15.686670,94.120026,15.686670,1200
2001-12-07,15.450000,15.450000,15.356670,92.140022,15.356670,1800
2001-12-10,15.356670,15.356670,15.356670,92.140022,15.356670,0
2001-12-11,15.125000,15.125000,15.125000,90.750000,15.125000,1200
2001-12-12,15.050000,15.050000,15.008330,90.049980,15.008330,1800
2001-12-13,15.008330,15.008330,15.008330,90.049980,15.008330,0
2001-12-14,15.008330,15.008330,15.008330,90.049980,15.008330,0
2001-12-17,14.946670,14.946670,14.946670,89.680016,14.946670,0
2001-12-18,15.008330,15.135000,15.008330,90.809998,15.135000,7800
2001-12-19,15.108330,15.233330,15.108330,91.399979,15.233330,14400
2001-12-20,15.233330,15.233330,15.233330,91.399979,15.233330,0
2001-12-21,15.233330,15.233330,15.233330,91.399979,15.233330,0
2001-12-24,15.500000,15.500000,15.500000,93.000000,15.500000,600
2001-12-26,15.908330,15.908330,15.908330,95.449982,15.908330,600
2001-12-27,15.908330,15.908330,15.908330,95.449982,15.908330,0
2001-12-28,16.059999,16.059999,16.059999,96.360001,16.059999,600
2001-12-31,15.933330,15.933330,15.933330,95.599976,15.933330,6000
2002-01-02,15.933330,15.933330,15.933330,95.599976,15.933330,0
2002-01-03,15.933330,15.933330,15.933330,95.599976,15.933330,0
2002-01-04,15.700000,15.730000,15.700000,94.379997,15.730000,1800
2002-01-07,15.816670,15.816670,15.816670,94.900024,15.816670,1800
2002-01-08,15.650000,15.650000,15.650000,93.899994,15.650000,600
2002-01-09,15.648330,15.648330,15.648330,93.889977,15.648330,600
2002-01-10,15.648330,15.648330,15.648330,93.889977,15.648330,0
2002-01-11,15.648330,15.648330,15.648330,93.889977,15.648330,0
2002-01-14,15.648330,15.648330,15.648330,93.889977,15.648330,0
2002-01-15,15.648330,15.648330,15.648330,93.889977,15.648330,0
2002-01-16,15.648330,15.648330,15.648330,93.889977,15.648330,0
2002-01-17,15.648330,15.648330,15.648330,93.889977,15.648330,0
2002-01-18,15.648330,15.648330,15.648330,93.889977,15.648330,0
2002-01-22,14.866670,14.866670,14.758330,88.570023,14.761670,10200
2002-01-23,14.761670,14.761670,14.761670,88.570023,14.761670,0
2002-01-24,14.761670,14.761670,14.761670,88.570023,14.761670,0
2002-01-25,14.761670,14.761670,14.761670,88.570023,14.761670,0
2002-01-28,15.433330,15.433330,15.433330,92.599976,15.433330,14400
2002-01-29,15.341670,15.341670,15.341670,92.050018,15.341670,600
2002-01-30,15.341670,15.341670,15.341670,92.050018,15.341670,0
2002-01-31,15.341670,15.341670,15.341670,92.050018,15.341670,0
2002-02-01,15.341670,15.341670,15.341670,92.050018,15.341670,0
2002-02-04,15.341670,15.341670,15.341670,92.050018,15.341670,0
2002-02-05,15.341670,15.341670,15.341670,92.050018,15.341670,0
2002-02-06,15.341670,15.341670,15.341670,92.050018,15.341670,0
2002-02-07,15.100000,15.100000,15.100000,90.600006,15.100000,3600
2002-02-08,15.100000,15.100000,15.100000,90.600006,15.100000,0
2002-02-11,15.100000,15.100000,15.100000,90.600006,15.100000,0
2002-02-12,15.450000,15.450000,15.450000,92.699997,15.450000,1200
2002-02-13,15.500000,15.523330,15.500000,93.139977,15.523330,7800
2002-02-14,15.613330,15.648330,15.613330,93.889977,15.648330,8400
2002-02-15,15.648330,15.648330,15.648330,93.889977,15.648330,0
2002-02-19,15.556670,15.556670,15.556670,93.340019,15.556670,600
2002-02-20,15.556670,15.556670,15.556670,93.340019,15.556670,0
2002-02-21,15.790000,15.790000,15.651670,93.910019,15.651670,3600
2002-02-22,15.651670,15.651670,15.651670,93.910019,15.651670,0
2002-02-25,15.998330,16.070000,15.998330,96.419998,16.070000,1200
2002-02-26,16.129999,16.129999,16.129999,96.779999,16.129999,600
2002-02-27,16.126671,16.126671,16.116671,96.700027,16.116671,2400
2002-02-28,16.186670,16.263330,16.186670,97.309982,16.218330,89400
2002-03-01,16.333330,16.333330,16.333330,97.999985,16.333330,600
2002-03-04,16.531670,16.658331,16.531670,99.949982,16.658331,1200
2002-03-05,16.666670,16.666670,16.666670,100.000015,16.666670,600
